ID,Long,Lat,Estado,Nombre
1,-102.006289,19.474989,MICH,La Alberca
2,-102.064453,19.448556,MICH,El Costo
3,-102.083,19.492444,MICH,El Fresno
4,-102.061333,19.500167,MICH,Pajas 1
5,-102.05625,19.510333,MICH,Pajas 2
6,-102.048444,19.503306,MICH,Pajas 3
7,-101.802142,19.424981,MICH,La Herradura
8,-101.805361,19.4465,MICH,Mellizos
9,-102.274694,19.544889,MICH,El Milagro
10,-101.661861,19.192806,MICH,Tejote
11,-101.652278,19.197203,MICH,Jaboncillal
12,-101.462944,19.328583,MICH,Coyotera
13,-101.460111,19.30225,MICH,Adelas
14,-101.407097,19.308864,MICH,Zarzal
15,-101.3321,19.425772,MICH,Ojo de Agua
16,-101.316189,19.434106,MICH,Bugambilias
17,-101.308956,19.440756,MICH,Antena
18,-101.279222,19.430611,MICH,Paloma
19,-102.509972,20.286611,MICH,Vista Hermosa Victor
20,-102.502806,20.292778,MICH,Vista Hermosa Jesús
21,-102.354961,20.329997,MICH,Sicuicho
22,-102.3461,20.322339,MICH,San Francisco
23,-103.599028,19.856333,JAL,La Quinta
24,-103.618083,19.900667,JAL,Bonanza 1
25,-103.620306,19.910139,JAL,Bonanza 2
26,-103.725306,19.824472,JAL,Cantor
27,-103.699944,19.824556,JAL,Leona 1
28,-103.709417,19.820722,JAL,Leona 2
29,-103.722639,19.792472,JAL,Ranchitos
30,-103.652611,19.797,JAL,Manzanilla 1
31,-103.663083,19.788083,JAL,Manzanilla 2
32,-103.720389,19.764736,JAL,Caracol 1
33,-103.729444,19.759278,JAL,Caracol 2
34,-103.260028,19.77425,JAL,El conejo
35,-103.391722,19.828278,JAL,Varal 1
36,-103.385831,19.821547,JAL,Varal 2
37,-100.978648,22.751956,SLP,El Polvorin
38,-100.949628,22.724717,SLP,El Carpintero
39,-101.063895,23.011630,SLP,El Clerigo
40,-100.533667,22.999739,SLP,SLP 1
41,-100.542557,23.105325,SLP,JR
42,-100.225814,22.226076,SLP,Las Fincas
43,-100.229422,22.223709,SLP,Las Fincas
44,-100.225706,22.230322,SLP,Las Fincas
45,-100.229457,22.219942,SLP,Las Fincas
46,-100.989275,22.570132,SLP,La Morita
47,-100.907511,22.661020,SLP,Agroquality
48,-100.505848,23.043030,SLP,SLP 2
49,-100.054154,22.096856,SLP,SLP 3
50,-100.703942,23.786999,SLP,Rancho Vallarta
51,-100.924256,23.914120,SLP,Rancho green house
